Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
SPRO,SmartPros Ltd.,1.76,8238456.16,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/spro
SWHC,Smith & Wesson Holding Corporation,10.625,665683524.4,n/a,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/swhc
SMSI,"Smith Micro Software, Inc.",1.01,37413696.64,n/a,1984,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/smsi
SMTX,SMTC Corporation,1.8914,30944932.5,n/a,2000,Technology,Electrical Products,http://www.nasdaq.com/symbol/smtx
LNCE,"Snyder&#39;s-Lance, Inc.",28.24,1959879580,n/a,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/lnce
SODA,SodaStream International Ltd.,64.59,1331277925,n/a,1987,Consumer Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/soda
SOHU,Sohu.com Inc.,65.41,2503809178,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/sohu
SLRC,Solar Capital Ltd.,22.38,1008008919,n/a,2010,n/a,n/a,http://www.nasdaq.com/symbol/slrc
SUNS,Solar Senior Capital Ltd.,18.23,209991825.8,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/suns
SCTY,SolarCity Corporation,36.581,2863500504,n/a,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/scty
SZYM,"Solazyme, Inc.",11.26,701608820.9,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/szym
SLTM,"Solta Medical, Inc",2.22,177118204.5,n/a,1983,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/sltm
SONC,Sonic Corp.,16.865,942512954.5,n/a,1991,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sonc
SOFO,"Sonic Foundry, Inc.",8.86,35292932.86,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sofo
SONS,"Sonus Networks, Inc.",3.62,997250881.8,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/sons
SPHS,"Sophiris Bio, Inc.",4.67,75419897.57,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sphs
SORL,"SORL Auto Parts, Inc.",3.5,67567223.5,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/sorl
SOHO,Sotherly Hotels Inc.,4.52,45909310.04,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/soho
SFBC,"Sound Financial Bancorp, Inc.",15.15,39190171.5,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sfbc
FIRE,"Sourcefire, Inc.",75.87,2397292765,n/a,2000,Technology,EDP Services,http://www.nasdaq.com/symbol/fire
